Date,equity
2020-01-02,1.0
2020-01-03,1.0
2020-01-06,1.0
2020-01-07,1.0
2020-01-08,1.0
2020-01-09,1.0
2020-01-10,1.0
2020-01-13,1.0
2020-01-14,1.0
2020-01-15,1.0
2020-01-16,1.0
2020-01-17,1.0
2020-01-21,1.0
2020-01-22,1.0
2020-01-23,1.0
2020-01-24,1.0
2020-01-27,1.0
2020-01-28,1.0
2020-01-29,1.0
2020-01-30,1.0
2020-01-31,1.0
2020-02-03,1.0
2020-02-04,1.0
2020-02-05,1.0
2020-02-06,1.0
2020-02-07,1.0
2020-02-10,1.0
2020-02-11,1.0
2020-02-12,1.0
2020-02-13,1.0
2020-02-14,1.0
2020-02-18,1.0
2020-02-19,1.0
2020-02-20,1.0
2020-02-21,1.0
2020-02-24,1.0
2020-02-25,1.0
2020-02-26,1.0
2020-02-27,1.0
2020-02-28,1.0
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,1.0
2020-03-05,1.0
2020-03-06,1.0
2020-03-09,1.0
2020-03-10,1.0
2020-03-11,1.0
2020-03-12,1.0
2020-03-13,0.9995589179628461
2020-03-16,0.9936786750750239
2020-03-17,0.9846862882337557
2020-03-18,0.9752860689722667
2020-03-19,0.9604109066432671
2020-03-20,0.959149841163576
2020-03-23,0.9638825514470001
2020-03-24,0.9656138856876869
2020-03-25,0.9721788090968182
2020-03-26,0.9823809320706404
2020-03-27,0.9864758345483582
2020-03-30,0.9813599009597176
2020-03-31,0.9807113697614989
2020-04-01,0.9756096004594551
2020-04-02,0.9711207518767169
2020-04-03,0.9689417486229904
2020-04-06,0.967436826704891
2020-04-07,0.9608155781983398
2020-04-08,0.9634757726581633
2020-04-09,0.9588965108194907
2020-04-13,0.9601759879518855
2020-04-14,0.9553748395055541
2020-04-15,0.9591166902965721
2020-04-16,0.9640802696826635
2020-04-17,0.9625475290212281
2020-04-20,0.9630597279548172
2020-04-21,0.9638441688675206
2020-04-22,0.9665633934842216
2020-04-23,0.9693880768739517
2020-04-24,0.9681615793544123
2020-04-27,0.9646559532756394
2020-04-28,0.9642402639414105
